期別,發票號碼,月份,類別,買受人統編,銷售額未稅,稅額,含稅金額,備註
11504,DU47478000,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478001,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478002,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478003,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478004,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478005,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478006,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478007,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478008,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478009,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478010,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478011,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478012,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478013,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478014,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478015,7月,B2B,80738683,905,45,950,
11504,DU47478016,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478017,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478018,7月,B2C,,71,4,75,B2C含稅75換算
11504,DU47478019,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478020,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478021,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478022,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478023,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478024,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478025,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478026,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478027,7月,B2C,,71,4,75,B2C含稅75換算
11504,DU47478028,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478029,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478030,7月,B2B,98750955,95,5,100,
11504,DU47478031,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478032,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478033,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478034,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478035,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478036,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478037,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478038,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478039,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478040,7月,B2C,,190,10,200,B2C含稅200換算
11504,DU47478041,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478042,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478043,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478044,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478045,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478046,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478047,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478048,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478049,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478050,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478051,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478052,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478053,7月,B2C,,29,1,30,B2C含稅30換算
11504,DU47478054,7月,B2C,,81,4,85,B2C含稅85換算
11504,DU47478055,7月,B2C,,200,10,210,B2C含稅210換算
11504,DU47478056,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478057,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478058,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478059,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478060,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478061,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478062,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478063,7月,B2C,,57,3,60,B2C含稅60換算
11504,DU47478064,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478065,7月,B2B,83300307,19048,952,20000,
11504,DU47478066,7月,B2B,24690413,48,2,50,
11504,DU47478067,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478068,7月,B2C,,190,10,200,B2C含稅200換算
11504,DU47478069,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478070,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478071,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478072,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478073,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478074,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478075,7月,B2B,83300307,28095,1405,29500,
11504,DU47478076,7月,B2B,83300307,857,43,900,
11504,DU47478077,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478078,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478079,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478080,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478081,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478082,7月,B2C,,1429,71,1500,B2C含稅1500換算
11504,DU47478083,7月,B2C,,76,4,80,B2C含稅80換算
11504,DU47478084,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478085,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478086,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478087,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478088,7月,B2C,,95,5,100,B2C含稅100換算
11504,DU47478089,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478090,7月,B2C,,48,2,50,B2C含稅50換算
11504,DU47478091,7月,B2B,83300307,28000,1400,29400,
11504,DU47478092,7月,B2C,,19,1,20,B2C含稅20換算
11504,DU47478093,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478094,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478095,7月,B2C,,38,2,40,B2C含稅40換算
11504,DU47478096,7月,B2C,,19,1,20,B2C含稅20換算
