序號,案件線,案件/公司,收發,對方機關,文別,日期(民國),對方文號,本方文號,主旨摘要,法定辦理期限,承辦人,辦理情形,歸檔位置,附件份數,備註
1,B_OT,輕車悠遊,發,宜蘭縣政府,函,113/11/04,,,主張112/10/14營運績效評估應取消其評估結果,,鄭玉屏,已發文,B3_本方去文,,E槽歷代存檔待歸位
2,B_OT,輕車悠遊,發,宜蘭縣政府,函,114/09/22,,,回復評估時間,,鄭玉屏,已發文,B3_本方去文,,E槽歷代存檔待歸位
3,B_OT,輕車悠遊,發,宜蘭縣政府績效評估委員會,函,115/08/11,,115北輕字第11500811號,呈報歷次行政介入與場地交付事實對照請納入評鑑考量,,鄭玉屏,已發文,B3_本方去文,1,副本致委任律師事務所
4,A_納管,政達木業,發,宜蘭縣政府,函,115/08/20,,政木字第1150820001號,申請特定工廠改善計畫展延至116/3/31,展延送件最後日115/8/22(已達成),鄭玉屏,已送件待審,A5_本方去文,3,審查期3個月約115/11/20前應有核復
5,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/08/__,,115北輕字第1150826002號,質問9-15績效評估區間與法源依據,函到7日內復(須落在115/9/15前),鄭玉屏,草稿完成待用印,D_進行中草稿,,函D 建議8/27-28送出
6,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/09/02,,,9月2日協調會議題說明書(議題一評估區間 議題二續約權),當場提出並要求列入紀錄,鄭玉屏,待出席,D_進行中草稿,,會後7日內索取會議紀錄核對
7,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/08/__,,115北輕字第1150826005號,優先定約權10年與不當連結禁止,函到7日內復,鄭玉屏,草稿完成待用印,D_進行中草稿,,函E 建議9/2會後送出
8,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/08/__,,115北輕字第1150826001號,要求向績效評估委員揭露七大爭議事實,須於115/9/15評估會議前送達,鄭玉屏,草稿完成待用印,D_進行中草稿,,函A 建議9/5前送達 務必親送取戳
9,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/08/__,,115北輕字第1150826003號,半數甲等續約權與16年營運期損害,函到7日內復,鄭玉屏,草稿完成待用印,D_進行中草稿,,函B 待函D期限屆滿後送出
10,B_OT,輕車悠遊,發,宜蘭縣政府,函,115/08/__,,115北輕字第1150826004號,代墊繳納聲明暨權利保留書15萬342元,繳納後7日內送出,鄭玉屏,草稿完成待用印,D_進行中草稿,,函C 另建議並行寄送郵局存證信函
11,B_OT,輕車悠遊,收,宜蘭縣政府,公告,105/11/16,府旅規字第1050188282A號,,OT案105/8/17終止契約 105/9/1停止營業由本府接管 票券使用及退費,,鄭玉屏,歸檔(115/8/28補登),B2_縣府來文/1051116接管公告暨訴願答辯卷,,接管公告 原處分已經行政法院撤銷確定
12,B_OT,臺北高等行政法院,收,臺北高等行政法院,判決,110/11/25,107年度訴更一字第71號,,主文:訴願決定及原處分均撤銷 訴訟費用由被告負擔,,鄭玉屏,歸檔(115/8/28補登),B1_契約與附件/1101125-臺北高等行政法院107年度訴更一字第71號判決卷,,★經最高行政法院111年度上字第149號判決確定 接管違法之確定判決依據
13,B_OT,輕車悠遊,收,宜蘭縣政府,函,112/06/21,府旅商字第1120106799號,,消保法限期改正,文到30日內改正,鄭玉屏,☐待確認是否回覆,B2_縣府來文/1051116接管公告暨訴願答辯卷,,裁罰鏈起點
14,B_OT,輕車悠遊,收,宜蘭縣政府,處分書,112/07/28,,,消保法第56條之1 處罰鍰3萬元,訴願:送達次日起30日,鄭玉屏,已提訴願(經濟部),B2_縣府來文/1051116接管公告暨訴願答辯卷,,同日另有府旅商字第1120129145B號公告
15,B_OT,輕車悠遊,收,宜蘭縣政府,函,112/07/20,府旅商字第1120122830號,,票券應訂期限案 載明營運計畫未經本府核定前應依105年度計畫辦理,,鄭玉屏,歸檔(115/8/28補登),B2_縣府來文/1120720-1130110縣府來文卷,,★備查/核定爭點證據
16,B_OT,輕車悠遊,收,宜蘭縣政府,處分書,112/10/06,府旅商字第1120169742C號,,消保法處分,訴願:送達次日起30日,鄭玉屏,已提訴願(經濟部),B2_縣府來文/1120720-1130110縣府來文卷,,縣府112/11/20函向經濟部答辯
17,B_OT,輕車悠遊,收,宜蘭縣政府,函,112/11/20,府旅商字第1120195461號,,訴願答辯書(正本:經濟部),,鄭玉屏,歸檔(115/8/28補登),B2_縣府來文/1120720-1130110縣府來文卷,,案號D9-112-11-001(25146)
18,B_OT,輕車悠遊,收,宜蘭縣政府,函,113/01/10,府旅商字第1120228382號,,修正112/11/30第3任協調委員會第1次會議紀錄(3點結論),收到決議文後20日內可提異議,鄭玉屏,已回覆:本方113/2/5函不同意修正,B2_縣府來文/1120720-1130110縣府來文卷,,★受文者含全體協調委員 縣府自擬結論用語為送請甲方備查(無核定)
19,B_OT,輕車悠遊,收,宜蘭縣政府,函,113/07/31,府旅商字第1130123541號,,112年度財報及溫泉水取用費未辦理 逾期依契約第12章缺失及違約續處,函載改善期限,鄭玉屏,☐待確認是否回覆,B2_縣府來文/1130731縣府來文暨履管會議紀錄卷,,⚠️違約預告 未爭執將被累積
20,B_OT,輕車悠遊,收,宜蘭縣政府,處分書,113/09/18,府旅商字第1130155737A號,,消保法第56條之1 處罰鍰5萬元,訴願:送達次日起30日(113/9/20送達),鄭玉屏,⚠️待確認是否提訴願,B2_縣府來文/1140520-1150414消保裁罰卷,,★逾期未救濟即告確定
21,B_OT,輕車悠遊,收,宜蘭縣政府,處分書,114/03/25,府旅商字第1140039371B號,,消保法第56條之1 處罰鍰10萬元,訴願:送達次日起30日(114/3/27送達),鄭玉屏,⚠️待確認是否提訴願,B2_縣府來文/1140520-1150414消保裁罰卷,,★逾期未救濟即告確定
22,B_OT,輕車悠遊,收,宜蘭縣政府,函,114/05/20,府旅商字第1140079875A號,,催告30日內完成改正及繳納 逾期移送行政執行署宜蘭分署,文到次日起30日,鄭玉屏,☐待確認是否回覆,B2_縣府來文/1140520-1150414消保裁罰卷,,⚠️後續已移送執行
23,B_OT,輕車悠遊,收,宜蘭縣政府,函,114/11/17,府旅商字第1140192889號,,票券販售及退票機制 縣府否認有擔保預售票之義務,文到30日內辦理,鄭玉屏,☐待確認是否回覆,B2_縣府來文/1140520-1150414消保裁罰卷,,★縣府否認票券背面所載保證金200萬與抽成1%
24,B_OT,輕車悠遊,收,宜蘭縣政府,處分書,115/04/14,府旅商字第1150053157A號,,消保法第56條之1 處罰鍰15萬元(第6次限期改正),訴願:送達次日起30日,鄭玉屏,已代墊繳納並保留權利,B2_縣府來文/1140520-1150414消保裁罰卷,,★本方115/8/17北輕字第11500817號函聲明非認諾
