日期,對象,含稅金額,問題,來源,備註
1150311,金山果菜行,4576,手寫收據金額/明細判讀待核,LINE照片,水果;手寫收據明細判讀不完整金額待核
1150905,手寫收據(統編91139741商行),1520,手寫收據金額/明細判讀待核,LINE照片,米袋等包材;收據未填日期以收件日登帳;金額判讀待核
1150905,豐富加油站(22965251),885,"票面買方統編12947298,兩家皆非,疑打錯,需請店家確認或作廢重開",LINE照片,訊息1a06fb9650d1262e
1150700,蚨聚有限公司,金額待讀PDF,7月租金發票(時間到咖啡館)金額與買方統編在PDF附件,郵件發票,申報前解附件補登
1150800,蚨聚有限公司,金額待讀PDF,8月租金發票(時間到咖啡館)金額與買方統編在PDF附件,郵件發票,申報前解附件補登
1150701,新竹物流AN62456032,金額待讀PDF,金額在PDF附件,郵件發票,申報前補
1150801,新竹物流CR62455519,金額待讀PDF,金額在PDF附件,郵件發票,申報前補
1150806,藍格印刷DM14634071,980,買方統編未載疑二聯式,郵件發票,影像在附件待核
1150811,藍格印刷DM14636200,836,買方統編未載疑二聯式,郵件發票,影像在附件待核
1150800,益泰玻璃,16000+16918,瓶身印刷2000支;發票號碼明細在PDF附件,郵件發票,申報前解附件補登
1150703,LINE Pay手續費×4(已登帳),金額待補,DT56020310/DD40974257/DT56075719/DD41088662金額在PDF附件,郵件發票,總帳已有列金額欄待補
